,,
,,
,Номенклатура на счетоводните сметки,
,,
,Сметка,Описание
,509,509 Други парични средства (в т ч ваучери и чекове) 
,,група 51: Краткосрочни финансови активи 
,511,"511 Финансови активи, отчитани по справедлива стойност в печалбата или загубата "
,512,"512 Финансови активи, държани до настъпване на падеж "
,513,513 Краткосрочни заеми и вземания 
,514,514 Финансови активи на разположение за продажба 
,519,519 Други краткосрочни финансови активи (в т ч благородни метали) 
,,Група 53: Предоставени заеми на предприятия
,531,531 Предоставени краткосрочни заеми на предприятия
,532,532 Предоставени краткосрочни заеми на предприятия в просрочие
,533,533 Предоставени дългосрочни заеми на предприятия 
,534,534 Предоставени дългосрочни заеми на предприятия в просрочие
,,Група 54: Предоставени заеми на граждани
,541,541 Предоставени краткосрочни заеми на граждани
,542,542 Предоставени краткосрочни заеми на граждани в просрочие
,543,543 Предоставени дългосрочни заеми на граждани
,544,544 Предоставени дългосрочни заеми на граждани в просрочие
,,Група 55: Предоставени заеми на банки и на бюджета
,551,551 Предоставени краткосрочни заеми на банки
,552,552 Предоставени краткосрочни заеми на банки в просрочие
,553,553 Предоставени дългосрочни заеми на банки
,554,554 Предоставени дългосрочни заеми на банки в просрочие
,555,555 Предоставени заеми на бюджета
,,Раздел 6: Сметки за разходи
,, Разходи за материали 
,60101,60101 Разходи за суровини и основни материали за производство 
,60102,"60102 Разходи за горива, вода и енергия за производство"
,60103,"60103 Разходи за строителни материали, резервни части, работно облекло"
,60104,"60104 Разходи за канцеларски материали, комунални разходи и консумативи за офиса"
,60105,60105 Разходи за други материали 
,,Разходи за външни услуги 
,60201,60201 Разходи за подизпълнители 
,60202,"60202 Разходи за наем, включително оперативен лизинг "
,60203,60203 Разходи за транспорт
,60204,"60204 Разходи за наем на персонал, квалификация и преквалификация на персонал"
,60205,60205 Разходи за поддръжка на софтуер и хардуер
,60206,"60206 Разходи за консултантски, юридически и счетоводни услуги "
,60207,"60207 Разходи за охрана, комуникационни услуги, абонаменти"
,60208,60208 Разходи за комисионни услуги
,60209,60209 Разходи за застраховка
,60210,60210 Разходи за реклама и маркетинг
,60211,60211 Разходи за ремонт и поддръжка
,60212,60212 Разходи за други външни услуги
,,Разходи за амортизации 
,603,603 Разходи за амортизации 
,,Разходи за персонал
,604,604 Разходи за заплати (възнаграждения) 
,605,605 Разходи за осигуровки 
,,"Разходи за данъци, такси и други подобни плащания "
,60601,60601 Разход за данъци при източника 
,60602,60602 Разход за данъци върху разходите
,60603,60603 Разход за данъци по ЗМДТ
,60604,60604 Разход за алтернативен данък
,60605,60605 Други данъци
,,Разходи от провизии и преоценки
,607,607 Разходи за провизии 
,6071,6071 Разходи за специализирани резерви
,608,608 Разходи от последващи оценки на активи 
,,Други разходи 
,60901,60901 Разходи за командировки
,60902,"60902 Разходи за глоби, санкции и неустойки"
,60903,60903 Отписани вземания и преоценки
,60904,60904 Разходи без документ
,60905,60905 Разходи за липси и брак на активи
,60906,60906 Разходи за дарения
,60907,60907 Разходи за квоти свързани с парникови газове
,60908,60908 Балансова стойност на отписани дълготрайни активи
,60909,60909 Други разходи 
,,група 61: Разходи за дейността 
,611,611 Разходи за основна дейност 
,612,612 Разходи за спомагателна дейност 
,613,613 Разходи за придобиване на дълготрайни активи 
,614,614 Административни разходи 
,615,615 Разходи за продажби 
,,група 62: Финансови разходи 
,621,621 Разходи за лихви 
,622,622 Разходи за провизиране на рискови активи
,623,623 Разходи от операции с финансови активи и инструменти 
,624,624 Разходи от валутни операции 
,625,625 Разходи от последващи оценки на финансови активи и инструменти 
,629,629 Други финансови разходи 
,,група 65: Разходи за бъдещи периоди 
,651,651 Нефинансови разходи за бъдещи периоди 
,652,652 Финансови разходи за бъдещи периоди 
,,Група 66: Разходи по застрахователни услуги
,661,661 Брутни възникнали щети
,662,662 Разходи за участие в резултата
,663,663 Разходи за уреждане на претенции по възникнали щети
,664,664 Аквизиционни разходи
,665,665 Разходи за превантивни мероприятия
,666,666 Загуби по обременителни договори
,667,"667 Отписани вземания по застраховки, сключени предходни години"
,668,668 Разходи за заделени пасиви за възникнали щети и пасиви за остатъчно покритие
,669,669 Други разходи по застрахователни договори
,,Група 67: Разходи по пасивно презастраховане
,671,671 Разходи за отстъпени премии на презастрахователи
,672,672 Разходи за освободени пасиви за възникнали щети и пасиви за остатъчно покритие - отстъпени
